alien_name,alien_category,planet,galaxy,product,product_family,stage,created_date,close_date,closed,setup_charge,revenue_month
Wolf-Stanton,Dogs,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,9-Mar-14,25-Jul-14,No,,0
Wolf-Stanton,Dogs,Albiorix,Andromeda,Practical Cotton Table,Rhode Island people,Identification,9-Mar-14,25-Jul-14,No,,0
Wolf-Stanton,Dogs,Albiorix,Andromeda,Sleek Plastic Pants,Rhode Island people,Identification,9-Mar-14,25-Jul-14,No,,0
"Haley, Morissette and Daugherty",Bees,Aoede,Centaurus A,Sleek Plastic Pants,Rhode Island people,Closed Won,12-Mar-14,12-Mar-14,Yes,0,2100
"Wilkinson, Gleason and Olson",Ogres,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,5-Feb-14,5-Feb-14,Yes,,296
Willms LLC,Bears,Aegaeon,Andromeda,Intelligent Steel Pants,California sorcerors,Closed Won,27-Mar-14,27-Mar-14,Yes,0,1107
"O'Connell, Moore and Stamm",Horses,Atlas,Milky Way,Sleek Rubber Gloves,California sorcerors,Qualification,2-May-14,31-Jul-14,No,,36000
"Littel, Weissnat and Goodwin",Dogs,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Proposal,30-Apr-14,1-Jul-14,No,,0
"Botsford, Kassulke and Rau",Unknown,Aegaeon,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Proposal,6-May-14,1-Jul-14,No,,500
"Botsford, Kassulke and Rau",Unknown,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Proposal,6-May-14,1-Jul-14,No,,1000
Goodwin LLC,Horses,Amalthea,Milky Way,Rustic Steel Computer,Rhode Island people,Qualification,5-May-14,29-Sep-14,No,,0
"Macejkovic, Labadie and Towne",Foxes,Amalthea,Milky Way,Rustic Concrete Table,California sorcerors,Qualification,1-May-14,22-Dec-14,No,4500,500
Raynor Group,Bees,Amalthea,Milky Way,Fantastic Wooden Car,California sorcerors,Closed Won,11-Apr-14,6-May-14,Yes,1650.4,0
Turner Inc,Bees,Amalthea,Milky Way,Rustic Rubber Chair,California sorcerors,Proposal,2-May-14,30-Jun-14,No,,0
"Moore, Shanahan and Blanda",Unknown,Aegaeon,Andromeda,Rustic Rubber Chair,California sorcerors,Qualification,6-May-14,24-Jun-14,No,0,1000
Cummerata-Huels,Bears,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,2-May-14,2-May-14,Yes,0,750
Turner Inc,Bees,Amalthea,Milky Way,Rustic Rubber Chair,California sorcerors,Proposal,2-May-14,30-Jun-14,No,,12.1
Kovacek-Bradtke,Horses,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,5-May-14,5-May-14,Yes,,360
Bartoletti-Luettgen,Dogs,Aitne,Centaurus A,Ergonomic Wooden Computer,Rhode Island people,Proposal,6-May-14,30-Sep-14,No,,1600
Bartoletti-Luettgen,Dogs,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Proposal,6-May-14,30-Sep-14,No,,3000
Bartoletti-Luettgen,Dogs,Aitne,Centaurus A,Sleek Plastic Pants,Rhode Island people,Proposal,6-May-14,30-Sep-14,No,,3000
Weimann and Sons,Bees,Aegaeon,Andromeda,Ergonomic Concrete Gloves,New York spiders,Identification,5-May-14,31-Jul-14,No,0,0.5
Wuckert and Sons,Bees,Autonoe,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Identification,24-Apr-14,30-Sep-14,No,,0
Wuckert and Sons,Bees,Bebhionn,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,24-Apr-14,30-Sep-14,No,,0
Wuckert and Sons,Bees,Bebhionn,Andromeda,Sleek Plastic Pants,Rhode Island people,Identification,24-Apr-14,30-Sep-14,No,,0
Wuckert and Sons,Bees,Bebhionn,Andromeda,Practical Cotton Table,Rhode Island people,Identification,24-Apr-14,30-Sep-14,No,,0
"D'Amore, Hagenes and Vandervort",Ogres,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Qualification,5-May-14,13-Aug-14,No,,0
Hermann and Sons,Ducks,Aegaeon,Andromeda,Sleek Rubber Gloves,California sorcerors,Qualification,6-May-14,25-Sep-14,No,,21600
"Parisian, Daniel and Glover",Ogres,Aoede,Centaurus A,Practical Cotton Table,Rhode Island people,Qualification,10-Apr-14,31-Jul-14,No,,0
Stehr-Gleichner,Dogs,Arche,Centaurus A,Sleek Rubber Gloves,California sorcerors,Qualification,6-May-14,14-Jul-14,No,150,600
Yundt-Reilly,Bees,Belinda,Omega,Rustic Rubber Chair,California sorcerors,Qualification,6-May-14,30-Jul-14,No,,10000
"White, Boyer and Conroy",Foxes,Aegir,Milky Way,Rustic Steel Computer,Rhode Island people,Closed Won,6-May-14,6-May-14,Yes,25,98
Yundt-Reilly,Bees,Amalthea,Milky Way,Rustic Rubber Chair,California sorcerors,Qualification,6-May-14,30-Jul-14,No,,20000
"Botsford, Kassulke and Rau",Unknown,Anthe,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Proposal,6-May-14,1-Jul-14,No,,900
"Botsford, Kassulke and Rau",Unknown,Anthe,Andromeda,Rustic Steel Computer,Rhode Island people,Proposal,6-May-14,1-Jul-14,No,,1800
Padberg Inc,Dogs,Aoede,Centaurus A,Sleek Plastic Pants,Rhode Island people,Proposal,9-Apr-14,1-Oct-14,No,,0
Raynor Group,Bees,Amalthea,Milky Way,Fantastic Wooden Car,California sorcerors,Identification,6-May-14,30-Sep-14,No,6059.6,0
"Stark, Dietrich and Hayes",Kangaroos,Aegaeon,Andromeda,Rustic Concrete Table,California sorcerors,Identification,2-May-14,30-Nov-14,No,,20833
Ankunding LLC,Bees,Amalthea,Milky Way,Practical Cotton Car,Missouri prophets,Proposal,2-May-14,13-Jun-14,No,1000,100
Ankunding LLC,Bees,Amalthea,Milky Way,Rustic Concrete Table,California sorcerors,Proposal,2-May-14,13-Jun-14,No,200,100
Ankunding LLC,Bees,Amalthea,Milky Way,Intelligent Steel Pants,California sorcerors,Proposal,2-May-14,13-Jun-14,No,200,50
Flatley and Sons,Birds,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Qualification,6-May-14,12-Dec-14,No,,14000
Stroman and Sons,Dogs,Amalthea,Milky Way,Practical Cotton Hat,Alabama chickens,Qualification,1-May-14,30-Jun-14,No,57568.8,0
Dach-Weber,Fishes,Bergelmir,Milky Way,Sleek Plastic Pants,Rhode Island people,Qualification,5-May-14,30-Sep-14,No,,532
Dach-Weber,Fishes,Bergelmir,Milky Way,Rustic Steel Computer,Rhode Island people,Qualification,5-May-14,30-Sep-14,No,,532
Hilll and Sons,Dogs,Aegaeon,Andromeda,Sleek Plastic Pants,Rhode Island people,Closed Won,5-May-14,5-May-14,Yes,,1
"Botsford, Kassulke and Rau",Unknown,Bestla,Messier 83,Rustic Steel Computer,Rhode Island people,Proposal,6-May-14,1-Jul-14,No,,2300
O'Connell and Sons,Ogres,Aegaeon,Andromeda,Sleek Rubber Gloves,California sorcerors,Identification,6-May-14,4-Nov-14,No,,3000
Flatley and Sons,Birds,Aegaeon,Andromeda,Sleek Plastic Pants,Rhode Island people,Qualification,6-May-14,12-Dec-14,No,,4500
"Shields, Bahringer and DuBuque",Unknown,Amalthea,Milky Way,Intelligent Steel Pants,California sorcerors,Proposal,2-May-14,30-May-14,No,24.4,20.7
Marks LLC,Ducks,Aegaeon,Andromeda,Rustic Rubber Chair,California sorcerors,Closed Won,6-May-14,6-May-14,Yes,1000,1355
Raynor Group,Bees,Amalthea,Milky Way,Fantastic Wooden Car,California sorcerors,Identification,6-May-14,30-Sep-14,No,6059.6,0
Dooley-Lehner,Ogres,Aegaeon,Andromeda,Sleek Rubber Gloves,California sorcerors,Identification,5-May-14,21-Dec-15,No,,500
Dooley-Lehner,Ogres,Aegaeon,Andromeda,Rustic Concrete Table,California sorcerors,Identification,5-May-14,21-Dec-15,No,,2000
"Botsford, Kassulke and Rau",Unknown,Bestla,Messier 83,Ergonomic Wooden Computer,Rhode Island people,Proposal,6-May-14,1-Jul-14,No,,1150
O'Connell and Sons,Ogres,Aegaeon,Andromeda,Sleek Rubber Gloves,California sorcerors,Identification,6-May-14,4-Nov-14,No,,0
Kris-Stanton,Horses,Bianca,Centaurus A,Sleek Plastic Pants,Rhode Island people,Proposal,6-May-14,30-Jun-14,No,,680
Kris-Stanton,Horses,Bianca,Centaurus A,Rustic Steel Computer,Rhode Island people,Proposal,6-May-14,30-Jun-14,No,,1725
Ondricka Inc,Bees,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,1-May-14,1-May-14,Yes,,390
"Moore, Shanahan and Blanda",Unknown,Aegaeon,Andromeda,Rustic Rubber Chair,California sorcerors,Proposal,6-May-14,26-Jun-14,No,0,1500
Renner-O'Keefe,Bears,Arche,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,2-May-14,2-May-14,Yes,,175
"Schiller, Becker and O'Kon",Bees,Amalthea,Milky Way,Gorgeous Concrete Car,Colorado dwarves,Proposal,2-May-14,30-May-14,No,1667,0
Sawayn Inc,Frogs,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,4-May-14,4-May-14,Yes,0,210
"Pfannerstill, Gutkowski and Batz",Foxes,Amalthea,Milky Way,Rustic Concrete Table,California sorcerors,Identification,6-May-14,27-Jun-14,No,1804.6,1.2
Yundt-Reilly,Bees,Caliban,Messier 83,Rustic Rubber Chair,California sorcerors,Qualification,6-May-14,30-Jul-14,No,,30000
"Pfannerstill, Gutkowski and Batz",Foxes,Amalthea,Milky Way,Rustic Concrete Table,California sorcerors,Identification,11-Apr-14,27-Jun-14,No,3622.6,1.2
Marks and Sons,Dogs,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Proposal,6-May-14,26-May-14,No,,198.8
"Roob, Rolfson and Friesen",Foxes,Aoede,Centaurus A,Sleek Plastic Pants,Rhode Island people,Identification,5-May-14,2-Feb-15,No,0,60000
"Roob, Rolfson and Friesen",Foxes,Aoede,Centaurus A,Rustic Steel Computer,Rhode Island people,Identification,5-May-14,2-Feb-15,No,0,120000
Cassin LLC,Horses,Aoede,Centaurus A,Rustic Rubber Chair,California sorcerors,Identification,9-Jan-14,13-Oct-14,No,,600
"Stokes, Spinka and Stokes",Horses,Aegir,Milky Way,Sleek Plastic Pants,Rhode Island people,Closed Won,5-May-14,5-May-14,Yes,,120
"Stokes, Spinka and Stokes",Horses,Aegir,Milky Way,Practical Cotton Table,Rhode Island people,Closed Won,5-May-14,5-May-14,Yes,,48
Padberg Inc,Dogs,Arche,Centaurus A,Sleek Plastic Pants,Rhode Island people,Proposal,9-Apr-14,1-Oct-14,No,,0
Hettinger Group,Horses,Aegaeon,Andromeda,Rustic Concrete Car,California sorcerors,Proposal,6-May-14,30-Jun-14,No,0,0
Goodwin LLC,Horses,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Qualification,5-May-14,29-Sep-14,No,,0
"Pollich, Mante and Eichmann",Horses,Aegaeon,Andromeda,Ergonomic Concrete Gloves,New York spiders,Identification,5-May-14,1-Oct-14,Yes,,2000
"Botsford, Kassulke and Rau",Unknown,Callirrhoe,Milky Way,Ergonomic Wooden Computer,Rhode Island people,Proposal,6-May-14,1-Jul-14,No,,200
"Botsford, Kassulke and Rau",Unknown,Callirrhoe,Milky Way,Rustic Steel Computer,Rhode Island people,Proposal,6-May-14,1-Jul-14,No,,400
"Stamm, Zieme and Langworth",Dogs,Amalthea,Milky Way,Ergonomic Wooden Computer,Rhode Island people,Proposal,13-Jan-14,10-Jun-14,No,0,0
"Roob, Rolfson and Friesen",Foxes,Aoede,Centaurus A,Rustic Concrete Table,California sorcerors,Qualification,5-May-14,15-Jul-14,No,,19000
"Botsford, Kassulke and Rau",Unknown,Autonoe,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Proposal,6-May-14,1-Jul-14,No,,2580
"Botsford, Kassulke and Rau",Unknown,Autonoe,Andromeda,Rustic Steel Computer,Rhode Island people,Proposal,6-May-14,1-Jul-14,No,,5160
Goodwin LLC,Horses,Aoede,Centaurus A,Rustic Steel Computer,Rhode Island people,Qualification,5-May-14,29-Sep-14,No,,390
Rowe-Farrell,Vixens,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,6-May-14,6-May-14,Yes,,414
"Goodwin, Abbott and Zieme",Vixens,Aoede,Centaurus A,Ergonomic Wooden Computer,Rhode Island people,Proposal,5-May-14,15-May-14,No,,25
"Goodwin, Abbott and Zieme",Vixens,Aoede,Centaurus A,Sleek Plastic Pants,Rhode Island people,Proposal,5-May-14,15-May-14,No,,60
"Gutkowski, Collier and Quigley",Bees,Aegaeon,Andromeda,Practical Cotton Table,Rhode Island people,Proposal,5-May-14,30-Jun-14,No,,1700
"Gutkowski, Collier and Quigley",Bees,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Proposal,5-May-14,30-Jun-14,No,,0
"Gutkowski, Collier and Quigley",Bees,Aegaeon,Andromeda,Practical Cotton Table,Rhode Island people,Proposal,5-May-14,30-Jun-14,No,,0
"Pollich, Mante and Eichmann",Horses,Aegaeon,Andromeda,Ergonomic Concrete Gloves,New York spiders,Identification,5-May-14,1-Oct-14,Yes,,0
"Gutkowski, Collier and Quigley",Bees,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Proposal,5-May-14,30-Jun-14,No,,5600
Durgan Group,Dogs,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Identification,6-May-14,1-Sep-14,No,,20
Durgan Group,Dogs,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,6-May-14,1-Sep-14,No,,20
Walter Inc,Horses,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,6-May-14,30-Apr-14,Yes,,450
Walter Inc,Horses,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,6-May-14,30-Apr-14,Yes,,0
Boyer-Boyer,Fishes,Amalthea,Milky Way,Practical Rubber Hat,Vermont oracles,Qualification,5-May-14,26-Aug-14,No,,0
Boyer-Boyer,Fishes,Amalthea,Milky Way,Ergonomic Plastic Pants,Alabama chickens,Qualification,5-May-14,26-Aug-14,No,1000,404
Boyer-Boyer,Fishes,Amalthea,Milky Way,Incredible Granite Shoes,Alabama chickens,Qualification,5-May-14,26-Aug-14,Yes,1000,404
Reynolds LLC,Bees,Aegaeon,Andromeda,Rustic Rubber Chair,California sorcerors,Decision,5-May-14,11-Jun-14,No,3500,20440
"Goodwin, Abbott and Zieme",Vixens,Aoede,Centaurus A,Rustic Steel Computer,Rhode Island people,Proposal,5-May-14,15-May-14,No,,264
"Goodwin, Abbott and Zieme",Vixens,Aoede,Centaurus A,Practical Cotton Table,Rhode Island people,Proposal,5-May-14,15-May-14,No,,270
"Goodwin, Abbott and Zieme",Vixens,Aoede,Centaurus A,Intelligent Steel Pants,California sorcerors,Proposal,5-May-14,15-May-14,No,,100
"Nader, Glover and Moore",Fishes,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,5-Feb-14,3-Mar-14,Yes,,300
"Nader, Glover and Moore",Fishes,Albiorix,Andromeda,Sleek Plastic Pants,Rhode Island people,Closed Won,5-Feb-14,3-Mar-14,Yes,,6
"Nader, Glover and Moore",Fishes,Albiorix,Andromeda,Rustic Rubber Chair,California sorcerors,Closed Won,5-Feb-14,3-Mar-14,Yes,,1
"Hane, Treutel and Stokes",Vixens,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Closed Won,22-Apr-14,26-Apr-14,Yes,,60
"Hane, Treutel and Stokes",Vixens,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,22-Apr-14,26-Apr-14,Yes,,24
"Hane, Treutel and Stokes",Vixens,Albiorix,Andromeda,Sleek Plastic Pants,Rhode Island people,Closed Won,22-Apr-14,26-Apr-14,Yes,,7
Rowe and Sons,Ogres,Aegaeon,Andromeda,Rustic Rubber Chair,California sorcerors,Qualification,2-May-14,4-Jun-14,No,,950
Torphy-Luettgen,Dogs,Amalthea,Milky Way,Ergonomic Concrete Chair,California sorcerors,Identification,28-Apr-14,30-Nov-14,No,,0
Torphy-Luettgen,Dogs,Amalthea,Milky Way,Ergonomic Rubber Computer,Rhode Island people,Identification,28-Apr-14,30-Nov-14,No,,0
"Borer, Parker and Pacocha",Dogs,Aegir,Milky Way,Sleek Plastic Pants,Rhode Island people,Closed Won,6-May-14,6-May-14,Yes,,756
"Emmerich, Davis and Anderson",Unknown,Arche,Centaurus A,Rustic Rubber Chair,California sorcerors,Proposal,6-May-14,16-Jun-14,No,,0
Braun Group,Kangaroos,Amalthea,Milky Way,Sleek Rubber Hat,Rhode Island people,Qualification,29-Apr-14,26-May-14,No,,508
"Runte, White and Spinka",Ducks,Amalthea,Milky Way,Ergonomic Concrete Chair,California sorcerors,Qualification,26-Mar-14,23-Jun-14,No,50000,0
"Jacobs, Rohan and Kemmer",Ducks,Aegaeon,Andromeda,Rustic Steel Computer,Rhode Island people,Closed Won,28-Apr-14,28-Apr-14,Yes,,201
"Botsford, Kassulke and Rau",Unknown,Aegir,Milky Way,Rustic Steel Computer,Rhode Island people,Proposal,6-May-14,1-Jul-14,No,,0
"Botsford, Kassulke and Rau",Unknown,Aegir,Milky Way,Ergonomic Wooden Computer,Rhode Island people,Proposal,6-May-14,1-Jul-14,No,,0
Goodwin LLC,Horses,Aegir,Milky Way,Rustic Steel Computer,Rhode Island people,Qualification,5-May-14,29-Sep-14,No,,0
Hilll Group,Vixens,Amalthea,Milky Way,Practical Plastic Shoes,California sorcerors,Proposal,30-Apr-14,26-May-14,No,5000,350
Hyatt Inc,Dogs,Aegaeon,Andromeda,Sleek Rubber Gloves,California sorcerors,Proposal,2-May-14,30-Jun-14,No,,3714
Hyatt Inc,Dogs,Aegaeon,Andromeda,Intelligent Steel Pants,California sorcerors,Proposal,2-May-14,30-Jun-14,No,,720
"Emmerich, Davis and Anderson",Unknown,Arche,Centaurus A,Rustic Rubber Chair,California sorcerors,Proposal,6-May-14,16-Jun-14,No,,0
Raynor Group,Bees,Amalthea,Milky Way,Fantastic Wooden Car,California sorcerors,Identification,6-May-14,30-Sep-14,No,6059.6,0
"Littel, Weissnat and Goodwin",Dogs,Belinda,Omega,Rustic Steel Computer,Rhode Island people,Proposal,30-Apr-14,1-Jul-14,No,,0
Frami-Upton,Frogs,Amalthea,Milky Way,Incredible Cotton Pants,Colorado dwarves,Proposal,1-May-14,18-Nov-14,No,28850,10000
Kris-Stanton,Horses,Bianca,Centaurus A,Sleek Plastic Pants,Rhode Island people,Proposal,6-May-14,30-Jun-14,No,,308
Kris-Stanton,Horses,Bianca,Centaurus A,Rustic Steel Computer,Rhode Island people,Proposal,6-May-14,30-Jun-14,No,,1195
Nienow and Sons,Ducks,Anthe,Andromeda,Rustic Rubber Chair,California sorcerors,Qualification,23-Apr-14,1-Jun-14,Yes,471.2,883.5
Lueilwitz Inc,Horses,Albiorix,Andromeda,Ergonomic Wooden Computer,Rhode Island people,Identification,30-Apr-14,30-Sep-14,No,,40
Lueilwitz Inc,Horses,Albiorix,Andromeda,Rustic Steel Computer,Rhode Island people,Identification,30-Apr-14,30-Sep-14,No,,40
Raynor Group,Bees,Amalthea,Milky Way,Fantastic Wooden Car,California sorcerors,Identification,16-Apr-14,30-Sep-14,No,6059.6,0
Fisher LLC,Ducks,Bianca,Centaurus A,Ergonomic Wooden Computer,Rhode Island people,Proposal,24-Apr-14,1-Sep-14,No,,540
Emard-Balistreri,Ogres,Aitne,Centaurus A,Ergonomic Wooden Computer,Rhode Island people,Closed Won,30-Apr-14,30-Apr-14,Yes,0,550
Hilll Group,Vixens,Amalthea,Milky Way,Rustic Concrete Table,California sorcerors,Closed Won,28-Apr-14,28-Apr-14,Yes,12139.3,1954.1
"Brekke, D'Amore and Schulist",Frogs,Amalthea,Milky Way,Ergonomic Plastic Pants,Alabama chickens,Proposal,29-Apr-14,1-Sep-14,Yes,1000,2
Wuckert and Sons,Bees,Amalthea,Milky Way,Ergonomic Wooden Computer,Rhode Island people,Identification,24-Apr-14,30-Sep-14,No,,22230
Wuckert and Sons,Bees,Amalthea,Milky Way,Sleek Rubber Hat,Rhode Island people,Identification,24-Apr-14,30-Sep-14,No,,4240
"Homenick, Volkman and Green",Horses,Aegir,Milky Way,Ergonomic Wooden Computer,Rhode Island people,Decision,30-Apr-14,10-Jun-14,No,,0
O'Connell Inc,Ogres,Aitne,Centaurus A,Sleek Plastic Pants,Rhode Island people,Closed Won,5-May-14,5-May-14,Yes,,342
O'Connell Inc,Ogres,Aitne,Centaurus A,Rustic Steel Computer,Rhode Island people,Closed Won,5-May-14,5-May-14,Yes,,80
